iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1326036918197566}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.132579561242547}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.1325458343710693}
