iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.292962946094137}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.2929724755073535}
iteration 0: {'lambda1': 1.0, 'lambda2': 1.0, 'lambda': 1.2929490305627023}
